320,180
85247,0.178671,0.204444
85247,0.114656,0.227324
85247,0.0506422,0.250202
85244,0.726919,0.262779
85244,0.704041,0.236339
85244,0.681164,0.209899
85244,0.658285,0.183459
85244,0.635405,0.157022
85244,0.612528,0.130581
85244,0.589649,0.104143
85244,0.56677,0.0777035
85244,0.543893,0.051263
85244,0.521015,0.0248239
85245,0.496521,0.501865
85245,0.447203,0.524741
85245,0.397886,0.547621
85245,0.348567,0.5705
85245,0.299251,0.593377
85245,0.249933,0.616257
85245,0.200614,0.639134
85245,0.151297,0.662012
85245,0.101979,0.684891
85245,0.0526613,0.70777
85245,0.00334406,0.730648
85238,0.246473,0.713677
85238,0.223594,0.693808
85238,0.200717,0.673938
85238,0.177838,0.654069
85238,0.15496,0.634199
85238,0.132082,0.614329
85238,0.109204,0.59446
85238,0.0863242,0.574591
85238,0.0634466,0.554721
85238,0.0405677,0.534852
85238,0.0176897,0.514982
85161,0.489924,0.00519933
85161,0.447176,0.0281227
85161,0.404429,0.051044
85161,0.361681,0.0739665
85161,0.318932,0.0968902
85161,0.276185,0.119813
85161,0.233437,0.142733
85161,0.19069,0.165656
85161,0.147941,0.188579
85161,0.105193,0.211503
85161,0.0624456,0.234425
85161,0.0196972,0.257347
85162,0.719731,0.258671
85162,0.696807,0.24154
85162,0.673885,0.224406
85162,0.650964,0.207272
85162,0.62804,0.190141
85162,0.605118,0.173008
85162,0.582195,0.155876
85162,0.559273,0.138743
85162,0.536351,0.12161
85162,0.513428,0.104477
85162,0.490506,0.0873446
85162,0.467583,0.0702117
85162,0.44466,0.05308
85162,0.421737,0.0359472
85162,0.398815,0.0188139
85162,0.375893,0.00168146
85163,0.337519,0.64703
85163,0.297464,0.669952
85163,0.257408,0.692875
85163,0.217353,0.715797
85163,0.177299,0.73872
85163,0.137243,0.761643
85163,0.0971878,0.784565
85163,0.0571325,0.807489
85163,0.0170774,0.830411
83563,0.853332,0.0229479
83563,0.876255,0.0629518
83562,0.897044,0.00213423
83562,0.85704,0.0650602
83562,0.817036,0.127988
83562,0.777033,0.190912
83562,0.737029,0.253839
83561,0.0147224,0.302975
83561,0.0391937,0.342979
83561,0.0636649,0.382983
83561,0.0881351,0.422986
83561,0.112605,0.46299
83561,0.137077,0.502995
83561,0.161548,0.542998
83561,0.186018,0.583003
83561,0.210491,0.623006
83561,0.234961,0.66301
83561,0.259432,0.703014
83560,0.256982,0.0269208
83560,0.216978,0.0913952
83560,0.176975,0.155869
83560,0.136971,0.220344
83560,0.096967,0.284819
83560,0.056963,0.349296
83560,0.016959,0.413769
83567,0.455198,0.0230208
83567,0.479671,0.0629837
83567,0.504142,0.102947
83567,0.528613,0.14291
83567,0.553083,0.182873
83567,0.577554,0.222835
83567,0.602025,0.262798
83567,0.626496,0.302761
83567,0.650966,0.342723
83566,0.617314,0.0581243
83566,0.577351,0.122557
83566,0.537388,0.186991
83566,0.497425,0.251425
83566,0.457462,0.31586
83566,0.417499,0.380293
83566,0.377537,0.444726
83566,0.337574,0.50916
83566,0.297611,0.573594
83566,0.257648,0.638028
83566,0.217685,0.702462
83566,0.177723,0.766895
83566,0.13776,0.831329
83566,0.097797,0.895763
83557,0.0207988,0.942165
83556,0.0178712,0.0311537
83579,0.0772505,0.0220765
83579,0.105478,0.0620142
83579,0.133704,0.101951
83579,0.16193,0.141889
83579,0.190156,0.181827
83579,0.218381,0.221763
83579,0.246607,0.261701
83579,0.274833,0.301638
83579,0.303059,0.341575
83579,0.331286,0.381513
83579,0.359512,0.421449
83579,0.387738,0.461386
83579,0.415965,0.501324
83579,0.444191,0.541261
83578,0.418801,0.0536176
83578,0.378864,0.121779
83578,0.338927,0.189943
83578,0.298989,0.258106
83578,0.259053,0.326269
83578,0.219115,0.394434
83578,0.179178,0.462596
83578,0.13924,0.530759
83578,0.0993032,0.598922
83578,0.0593657,0.667087
83578,0.0194288,0.735251
83581,0.782905,0.0205014
83581,0.811131,0.0604261
83581,0.839356,0.100351
83580,0.859725,0.00785899
83580,0.8198,0.0760104
83580,0.779876,0.14416
83580,0.739951,0.212311
83580,0.700027,0.280462
83583,0.011305,0.339898
83583,0.0479172,0.379823
83583,0.0845304,0.419746
83583,0.121145,0.459671
83583,0.157756,0.499596
83583,0.19437,0.53952
83583,0.230983,0.579444
83583,0.267598,0.619369
83583,0.30421,0.659293
83582,0.300783,0.0400427
83582,0.260858,0.11658
83582,0.220934,0.193118
83582,0.181009,0.269656
83582,0.141085,0.346194
83582,0.10116,0.422731
83582,0.061235,0.49927
83582,0.0213116,0.575808
83489,0.633731,0.0186129
83489,0.670347,0.0585375
83489,0.706959,0.0984621
83489,0.743574,0.138387
83489,0.780185,0.178311
83488,0.781765,0.0350346
