320,180
9681,0.713655,0.0312894
9681,0.691911,0.0949689
9681,0.669925,0.15936
9681,0.647692,0.224473
9681,0.625208,0.290319
9681,0.60247,0.35691
9700,0.00532019,0.419604
9700,0.0693721,0.43179
9700,0.134404,0.444161
9700,0.200436,0.456723
9700,0.267492,0.469481
9700,0.335597,0.482438
9700,0.404778,0.495599
9700,0.475056,0.508971
9699,0.500999,0.105508
9699,0.516864,0.239196
9699,0.533216,0.376992
9714,0.169116,0.397512
9714,0.581249,0.251922
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
9834,0.0799543,0.323972
9834,0.350811,0.467776
9832,0.460846,0.0855616
9832,0.445522,0.240425
9832,0.43066,0.390653
9832,0.416234,0.536448
9771,0.0529981,0.580105
9771,0.135731,0.566278
9771,0.217178,0.552666
9771,0.29737,0.539265
9771,0.376337,0.526067
9771,0.454103,0.51307
9772,0.505043,0.0217566
9772,0.528493,0.0660243
9772,0.551678,0.109793
9772,0.574604,0.153071
9772,0.597273,0.195865
9772,0.619691,0.238185
9772,0.641863,0.280039
9772,0.66379,0.321433
9789,0.0392061,0.309314
9789,0.0901426,0.281019
9789,0.140735,0.252915
9789,0.190983,0.225003
9789,0.240892,0.197279
9789,0.290467,0.16974
9789,0.339707,0.142388
9789,0.388619,0.115217
9789,0.437206,0.0882277
9789,0.48547,0.0614172
9789,0.533415,0.0347843
9789,0.581042,0.00832738
9788,0.0170061,0.611351
9788,0.0417371,0.633626
9788,0.0663056,0.655756
9788,0.0907146,0.677742
9788,0.114964,0.699585
9788,0.139058,0.721286
9788,0.162997,0.742848
9788,0.186781,0.764272
9492,0.350692,0.00292612
9492,0.282301,0.102775
9492,0.214485,0.201786
9492,0.147236,0.299967
9492,0.0805475,0.397331
9492,0.0144129,0.493887
9493,0.533091,0.0565512
9493,0.556177,0.128432
9493,0.579073,0.199724
9493,0.601782,0.270434
9493,0.624307,0.340569
9420,0.540873,0.110536
9420,0.391869,0.289612
9420,0.2424,0.469249
9420,0.0924678,0.649441
9421,0.770914,0.0592778
11612,0.193603,0.798215
11612,0.0302482,0.831274
11611,0.728889,0.132941
11611,0.593857,0.298379
11611,0.456364,0.466833
11611,0.316345,0.638382
11611,0.173727,0.813116
11610,0.0408307,0.0199752
5931,0.551776,0.0831626
5931,0.584632,0.15595
5931,0.617816,0.229461
5931,0.651332,0.30371
7950,0.181759,0.155587
7950,0.210232,0.173586
7950,0.238858,0.191682
7950,0.267639,0.209877
7950,0.296578,0.228171
7950,0.325675,0.246566
7950,0.354933,0.26506
7950,0.384351,0.283657
7950,0.41393,0.302356
7950,0.443674,0.321159
7950,0.473582,0.340067
7950,0.503657,0.359079
7950,0.5339,0.378197
7950,0.564311,0.397422
7949,0.405682,0.585513
7949,0.377458,0.575859
7949,0.349156,0.566177
7949,0.320773,0.55647
7949,0.292312,0.546734
7949,0.26377,0.536971
7949,0.235148,0.527181
7949,0.206446,0.517363
7949,0.177662,0.507517
7949,0.148798,0.497644
7949,0.119851,0.487743
7949,0.0908228,0.477813
7949,0.0617118,0.467856
7949,0.0325184,0.45787
7949,0.00324273,0.447855
7951,0.411641,0.0267411
7951,0.372072,0.056882
7951,0.332397,0.0871039
7951,0.292616,0.117407
7951,0.252729,0.14779
7951,0.212734,0.178256
7951,0.172631,0.208803
7951,0.132421,0.239433
7951,0.0921015,0.270145
7951,0.0516744,0.30094
7951,0.0111373,0.331819
7953,0.313348,0.0292946
7953,0.276236,0.0696288
7953,0.239157,0.109927
7953,0.202112,0.150188
7953,0.165099,0.190413
7953,0.12812,0.230603
7953,0.0911748,0.270755
7953,0.0542625,0.310872
7953,0.0173832,0.350953
7952,0.371679,0.019316
7952,0.375148,0.0558491
7952,0.378612,0.0923473
7952,0.382074,0.128809
7952,0.385532,0.165236
7952,0.388986,0.201627
7952,0.392438,0.237983
7952,0.395886,0.274303
7952,0.399331,0.310589
7952,0.402772,0.346839
7952,0.406211,0.383054
7952,0.409645,0.419234
7952,0.413077,0.455379
7952,0.416505,0.491489
7952,0.419929,0.527564
7952,0.423351,0.563604
7955,0.408093,0.0268521
7955,0.383694,0.0668293
7955,0.359402,0.10663
7955,0.335217,0.146257
7955,0.311138,0.185709
7955,0.287164,0.224989
7955,0.263294,0.264098
7955,0.239529,0.303036
7955,0.215867,0.341806
7955,0.192308,0.380407
7955,0.16885,0.418841
7955,0.145493,0.457109
7955,0.122238,0.495213
7955,0.0990813,0.533153
7955,0.0760254,0.570929
7955,0.0530671,0.608545
7955,0.0302069,0.646
7955,0.0074451,0.683295
7954,0.705701,0.0146214
7954,0.720835,0.0362976
7954,0.735902,0.057878
7954,0.750902,0.0793628
7954,0.765836,0.100752
7954,0.780703,0.122047
7954,0.795505,0.143247
7954,0.810243,0.164355
7956,0.151553,0.827559
5798,0.348708,0.606311
5798,0.382223,0.465032
5798,0.415407,0.325156
5798,0.448263,0.186659
11603,0.0199642,0.0408718
11602,0.813069,0.173766
11602,0.638343,0.316377
11602,0.466804,0.456388
11602,0.298361,0.593872
11602,0.132933,0.728895
11635,0.831274,0.0302479
11635,0.798215,0.193603
9457,0.169809,0.0592776
9411,0.0924741,0.258093
9411,0.242414,0.288355
9411,0.39189,0.318523
9411,0.540901,0.348598
9517,0.0351456,0.340553
9517,0.127805,0.270418
9517,0.221223,0.19971
9517,0.31541,0.128418
9517,0.410376,0.0565371
9483,0.0144247,0.491706
9483,0.0805573,0.522126
9483,0.147243,0.5528
9483,0.21449,0.583732
9483,0.282304,0.614924
9483,0.350694,0.646383
9683,0.186781,0.0489473
9683,0.162996,0.0941555
9683,0.139058,0.139655
9683,0.114964,0.185451
9683,0.0907144,0.231544
9683,0.0663055,0.277939
9683,0.0417371,0.324637
9683,0.0170061,0.371642
9682,0.41063,0.0083274
9682,0.431801,0.034785
9682,0.453113,0.0614171
9682,0.474566,0.0882277
9682,0.496163,0.115217
